Rk,Player,Team,Conf,G,Rush,Rec,PRTD,KRTD,FRTD,IntTD,OthTD,TD,XPM,XPA,FGM,FGA,2PM,Sfty,Pts,Pts/G,Awards,-9999
767,Danzel Mckinley-Lewis,Toledo,MAC,6,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,2.0,,danzel-mckinley-lewis-1
768,Darius Boone Jr.,Eastern Michigan,MAC,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,4.0,,darius-boone-jr-1
769,Darius Maberry,Southern Mississippi,CUSA,6,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,2.0,,darius-maberry-1
770,Dennis Robinson,Northern Illinois,MAC,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,3.0,,dennis-robinson-3
771,Dennis Robinson,Northern Illinois,MAC,6,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,2.0,,dennis-robinson-4
772,Desmond Trotter,South Alabama,Sun Belt,10,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,1.2,,desmond-trotter-1
773,Devin Carter*,North Carolina State,ACC,12,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.0,,devin-carter-1
774,Devon Williams*,Oregon,Pac-12,6,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,2.0,,devon-williams-2
775,Devonte Lee*,Nevada,MWC,9,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,1.3,,devonte-lee-1
776,Dillon Gabriel*,UCF,American,10,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,1.2,,dillon-gabriel-1
777,DJ England-Chisolm,Middle Tennessee State,CUSA,9,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.3,,dj-england-chisolm-1
778,Drake Anderson*,Northwestern,Big Ten,7,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,1.7,,drake-anderson-1
779,Drake Stoops*,Oklahoma,Big 12,10,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.2,,drake-stoops-1
780,Dylan Morris,Washington,Pac-12,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,3.0,,dylan-morris-1
781,Ean Pfeifer,Louisville,ACC,10,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.2,,ean-pfeifer-1
782,E.J. Williams*,Clemson,ACC,12,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.0,,ej-williams-2
783,Eli Pancol,Duke,ACC,11,1,1,0,0,0,0,0,2,0,0,0,0,0,0,12,1.1,,eli-pancol-1
784,Eli Ricks,LSU,SEC,10,0,0,0,0,0,2,0,2,0,0,0,0,0,0,12,1.2,,eli-ricks-1
785,Emory Jones*,Florida,SEC,9,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,1.3,,emory-jones-1
786,Eric Stokes*,Georgia,SEC,9,0,0,0,0,0,2,0,2,0,0,0,0,0,0,12,1.3,,eric-stokes-2
787,Erik Krommenho,USC,Pac-12,6,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,2.0,,erik-krommenho-1
788,Errol Rogers Jr.*,Louisiana,Sun Belt,10,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.2,,errol-rogers-jr-1
