Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
52,Caleb Douglas*,Texas Tech,Big 12,13,60,877,14.6,6,67.5,0,0,,0,0.0,60,877,14.6,6,,caleb-douglas-1
53,Cayden Lee*,Ole Miss,SEC,13,57,874,15.3,2,67.2,2,18,9.0,0,1.4,59,892,15.1,2,,cayden-lee-1
54,Holden Willis,Middle Tennessee State,CUSA,11,53,871,16.4,6,79.2,0,0,,0,0.0,53,871,16.4,6,,holden-willis-1
55,Omari Kelly,Middle Tennessee State,CUSA,11,53,869,16.4,4,79.0,3,0,0.0,0,0.0,56,869,15.5,4,,omari-kelly-1
56,Kyren Lacy*,LSU,SEC,12,58,866,14.9,9,72.2,0,0,,0,0.0,58,866,14.9,9,,kyren-lacy-1
57,Ryan Williams*,Alabama,SEC,13,48,865,18.0,8,66.5,4,48,12.0,2,3.7,52,913,17.6,10,,ryan-williams-11
58,Daniel Jackson*,Minnesota,Big Ten,12,75,863,11.5,4,71.9,3,13,4.3,0,1.1,78,876,11.2,4,,daniel-jackson-5
59,Jordan Moore*,Duke,ACC,13,55,861,15.7,8,66.2,0,0,,0,0.0,55,861,15.7,8,,jordan-moore-5
60,Skyler Bell*,Connecticut,Ind,13,50,860,17.2,5,66.2,0,4,,0,0.3,50,864,17.3,5,,skyler-bell-1
61,Chase Roberts*,BYU,Big 12,13,52,854,16.4,4,65.7,5,21,4.2,0,1.6,57,875,15.4,4,,chase-roberts-2
62,Jaden Smith,Nevada,MWC,13,62,849,13.7,7,65.3,0,0,,0,0.0,62,849,13.7,7,,jaden-smith-2
63,Kaedin Robinson,Appalachian State,Sun Belt,9,53,840,15.8,2,93.3,1,13,13.0,0,1.4,54,853,15.8,2,,kaedin-robinson-1
64,Luke Wysong,New Mexico,MWC,11,69,840,12.2,1,76.4,9,55,6.1,0,5.0,78,895,11.5,1,,luke-wysong-1
65,Jakobie Keeney-James,Massachusetts,Ind,12,50,839,16.8,6,69.9,0,0,,0,0.0,50,839,16.8,6,,jakobie-keeney-james-1
66,Tanner Koziol,Ball State,MAC,12,94,839,8.9,8,69.9,1,6,6.0,0,0.5,95,845,8.9,8,,tanner-koziol-1
67,Denzel Boston*,Washington,Big Ten,13,63,834,13.2,9,64.2,0,0,,0,0.0,63,834,13.2,9,,denzel-boston-1
68,Jalen Royals,Utah State,MWC,7,55,834,15.2,6,119.1,1,3,3.0,0,0.4,56,837,14.9,6,,jalen-royals-1
69,Adrian Norton,Akron,MAC,12,43,831,19.3,7,69.3,0,0,,0,0.0,43,831,19.3,7,,adrian-norton-1
70,Elic Ayomanor,Stanford,ACC,12,63,831,13.2,6,69.3,0,0,,0,0.0,63,831,13.2,6,,elic-ayomanor-1
71,Lance Legendre*,Louisiana,Sun Belt,14,49,826,16.9,6,59.0,1,10,10.0,0,0.7,50,836,16.7,6,,lance-legendre-1
72,Jayce Brown*,Kansas State,Big 12,13,47,823,17.5,5,63.3,3,42,14.0,0,3.2,50,865,17.3,5,,jayce-brown-1
73,DT Sheffield*,North Texas,American,12,66,822,12.5,11,68.5,4,86,21.5,1,7.2,70,908,13.0,12,,dt-sheffield-1
74,Kamdyn Benjamin,Tulsa,American,12,70,822,11.7,6,68.5,5,20,4.0,0,1.7,75,842,11.2,6,,kamdyn-benjamin-1
75,Isiah Paige,Old Dominion,Sun Belt,12,61,819,13.4,3,68.3,4,5,1.3,0,0.4,65,824,12.7,3,,isiah-paige-1
76,Javon Tracy*,Miami (OH),MAC,13,57,818,14.4,7,62.9,0,0,,0,0.0,57,818,14.4,7,,javon-tracy-1
77,Arian Smith,Georgia,SEC,14,48,817,17.0,4,58.4,5,54,10.8,0,3.9,53,871,16.4,4,,arian-smith-1
78,Reginald Virgil*,Miami (OH),MAC,13,41,816,19.9,9,62.8,0,0,,0,0.0,41,816,19.9,9,,reginald-virgil-1
79,Konata Mumpfield*,Pitt,ACC,12,52,813,15.6,5,67.8,0,0,,0,0.0,52,813,15.6,5,,konata-mumpfield-1
80,Malachi Fields,Virginia,ACC,12,55,808,14.7,5,67.3,0,0,,0,0.0,55,808,14.7,5,,malachi-fields-1
81,Jaden Williams*,Texas State,Sun Belt,13,57,807,14.2,7,62.1,1,9,9.0,0,0.7,58,816,14.1,7,,jaden-williams-1
82,Elijhah Badger*,Florida,SEC,12,39,806,20.7,4,67.2,0,0,,0,0.0,39,806,20.7,4,,elijhah-badger-1
83,Cam Vaughn*,Jacksonville State,CUSA,14,48,803,16.7,5,57.4,0,0,,0,0.0,48,803,16.7,5,,cam-vaughn-1
84,Anthony Smith*,East Carolina,American,13,41,799,19.5,6,61.5,0,0,,0,0.0,41,799,19.5,6,,anthony-smith-14
85,Eli Pancol*,Duke,ACC,13,60,798,13.3,9,61.4,0,0,,0,0.0,60,798,13.3,9,,eli-pancol-1
86,O'Mega Blake,Charlotte,American,12,32,795,24.8,9,66.3,2,7,3.5,0,0.6,34,802,23.6,9,,omega-blake-1
87,Germie Bernard*,Alabama,SEC,13,50,794,15.9,2,61.1,4,37,9.3,1,2.8,54,831,15.4,3,,germie-bernard-1
88,Easton Messer*,Western Kentucky,CUSA,14,55,793,14.4,4,56.6,9,37,4.1,0,2.6,64,830,13.0,4,,easton-messer-1
89,Dante Wright,Temple,American,9,61,792,13.0,6,88.0,5,17,3.4,0,1.9,66,809,12.3,6,,dante-wright-1
90,Gunnar Helm*,Texas,SEC,16,60,786,13.1,7,49.1,0,0,,0,0.0,60,786,13.1,7,,gunnar-helm-1
91,Chimere Dike*,Florida,SEC,13,42,783,18.6,2,60.2,0,0,,0,0.0,42,783,18.6,2,,chimere-dike-1
92,Matt Sykes,Rice,American,12,65,782,12.0,5,65.2,2,-4,-2.0,0,-0.3,67,778,11.6,5,,matt-sykes-1
93,Sean Atkins*,South Florida,American,13,79,781,9.9,2,60.1,1,14,14.0,0,1.1,80,795,9.9,2,,sean-atkins-1
94,Kobe Hudson,UCF,Big 12,12,47,770,16.4,4,64.2,0,0,,0,0.0,47,770,16.4,4,,kobe-hudson-1
95,Brennan Presley,Oklahoma State,Big 12,12,90,767,8.5,7,63.9,7,56,8.0,1,4.7,97,823,8.5,8,,brennan-presley-1
96,Makai Lemon*,USC,Big Ten,12,52,764,14.7,3,63.7,0,0,,0,0.0,52,764,14.7,3,,makai-lemon-1
97,Eric McAlister*,Texas Christian,Big 12,13,39,762,19.5,5,58.6,0,0,,0,0.0,39,762,19.5,5,,eric-mcalister-1
98,Dymere Miller*,Rutgers,Big Ten,13,59,757,12.8,4,58.2,0,0,,0,0.0,59,757,12.8,4,,dymere-miller-1
99,Taylor Morin,Wake Forest,ACC,12,64,756,11.8,2,63.0,1,9,9.0,0,0.8,65,765,11.8,2,,taylor-morin-1
100,Damon Ward*,North Texas,American,10,41,755,18.4,4,75.5,0,0,,0,0.0,41,755,18.4,4,,damon-ward-2
