Rk,Player,Team,Conf,G,Pnt,Yds,Y/P,Awards,Player-additional
54,Paddy Turner,Colorado State,MWC,12,51,2212,43.4,,paddy-turner-1
55,Eddie Czaplicki*,USC,Pac-12,13,44,1906,43.3,,eddie-czaplicki-1
56,Sawyer Evans,North Texas,American,12,30,1300,43.3,,sawyer-evans-1
57,Jake Walrath,Central Michigan,MAC,12,62,2681,43.2,,jake-walrath-2
58,Kai Kroeger,South Carolina,SEC,12,62,2676,43.2,,kai-kroeger-1
59,Reid Bauer*,Memphis,American,13,44,1902,43.2,,reid-bauer-1
60,Ryan Marks*,Utah State,MWC,9,38,1642,43.2,,ryan-marks-2
61,William Przystup*,Arkansas State,Sun Belt,13,61,2635,43.2,,william-przystup-1
62,Oliver Straw*,West Virginia,Big 12,13,43,1853,43.1,,oliver-straw-1
63,Peter Moore*,Virginia Tech,ACC,13,60,2588,43.1,,peter-moore-1
64,Ethan Vasko*,Coastal Carolina,Sun Belt,8,1,43,43.0,,ethan-vasko-1
65,Jack Salopek,Western Michigan,MAC,6,1,43,43.0,,jack-salopek-1
66,Mason Fletcher,Cincinnati,Big 12,12,45,1935,43.0,,mason-fletcher-1
67,Daniel Sparks,Virginia,ACC,12,64,2746,42.9,,daniel-sparks-1
68,Palmer Williams,Baylor,Big 12,12,35,1501,42.9,,palmer-williams-1
69,Patrick Foley,UAB,American,12,40,1715,42.9,,patrick-foley-1
70,Brady Hodges*,Louisville,ACC,14,28,1197,42.8,,brady-hodges-1
71,David Shanahan*,Georgia Tech,ACC,13,45,1927,42.8,,david-shanahan-1
72,John McConnell*,Marshall,Sun Belt,13,61,2613,42.8,,john-mcconnell-2
73,Angus Davies,Tulsa,American,12,58,2479,42.7,,angus-davies-1
74,Hugh Robertson,Illinois,Big Ten,12,51,2176,42.7,,hugh-robertson-1
75,Jack Wilson*,Ohio,MAC,8,29,1237,42.7,,jack-wilson-4
76,Luke Freer*,Air Force,MWC,8,15,640,42.7,,luke-freer-1
77,Aidan Flintoft,Stanford,Pac-12,10,30,1278,42.6,,aidan-flintoft-1
78,Caden Noonkester*,North Carolina State,ACC,13,71,3022,42.6,,caden-noonkester-1
79,Fraser Masin*,Ole Miss,SEC,13,48,2038,42.5,,fraser-masin-1
80,Jackson Ross*,Tennessee,SEC,13,55,2337,42.5,,jackson-ross-1
81,Luke Akers*,Northwestern,Big Ten,4,2,85,42.5,,luke-akers-1
82,Mark Crawford*,Minnesota,Big Ten,13,65,2762,42.5,,mark-crawford-4
83,Trey Turk,Middle Tennessee State,CUSA,12,33,1404,42.5,,trey-turk-1
84,Aaron Rodriguez,New Mexico,MWC,12,52,2204,42.4,,aaron-rodriguez-1
85,Kyle Ostendorp*,Arizona,Pac-12,13,35,1485,42.4,,kyle-ostendorp-1
